clientes_idclientes,producto_idproducto,tipo_entrega,estatus,fecha_registro
17,920,piso,en curso,2020-12-04 3:31
46,965,piso,en curso,2020-04-04 4:18
72,676,piso,en curso,2020-05-02 8:16
6,294,piso,en curso,2021-07-08 3:46
40,745,domicilio,lista,2020-03-30 10:45
64,934,piso,lista,2019-12-11 10:25
36,384,domicilio,lista,2019-11-29 3:07
57,433,domicilio,lista,2020-01-25 10:07
48,179,piso,en curso,2019-12-21 9:42
52,461,domicilio,lista,2020-07-21 3:38
5,240,domicilio,lista,2020-06-19 8:29
74,702,piso,en curso,2021-04-30 9:18
100,535,domicilio,lista,2020-08-17 11:25
84,558,domicilio,lista,2021-12-07 1:05
61,668,piso,en curso,2019-11-08 3:05
38,303,domicilio,lista,2021-11-14 12:43
89,844,domicilio,lista,2020-07-25 3:55
30,188,piso,lista,2020-01-20 7:54
63,747,domicilio,en curso,2019-02-18 10:30
62,854,domicilio,lista,2021-10-04 11:34
32,966,domicilio,lista,2021-01-10 1:27
20,698,piso,lista,2021-07-08 3:09
69,34,domicilio,lista,2021-12-20 12:44
23,87,domicilio,en curso,2020-01-24 2:05
11,103,piso,lista,2019-11-26 7:33
95,451,piso,en curso,2019-08-25 5:14
72,750,piso,en curso,2021-09-29 4:56
7,806,domicilio,en curso,2021-09-10 7:47
39,820,piso,en curso,2019-08-14 5:05
26,641,domicilio,lista,2019-07-01 8:10
41,47,domicilio,lista,2020-07-21 7:38
80,484,domicilio,en curso,2019-06-12 6:41
87,86,domicilio,en curso,2019-09-08 6:15
65,849,domicilio,en curso,2021-07-04 1:42
58,342,domicilio,en curso,2020-04-03 5:22
89,702,piso,lista,2019-10-04 7:40
28,809,domicilio,lista,2020-07-13 8:21
24,763,piso,en curso,2020-01-23 2:23
43,409,piso,en curso,2019-07-01 4:40
31,780,piso,en curso,2020-11-23 5:36
63,137,piso,en curso,2020-01-09 9:40
25,53,domicilio,lista,2020-08-08 3:56
9,722,piso,lista,2020-07-06 4:30
52,548,domicilio,en curso,2020-09-24 8:54
63,972,piso,en curso,2021-12-05 7:01
21,477,piso,lista,2020-04-23 8:52
87,222,domicilio,lista,2019-05-25 7:45
20,218,domicilio,en curso,2020-11-04 7:05
100,671,domicilio,lista,2019-07-08 10:05
24,960,domicilio,lista,2021-01-23 10:32
18,761,domicilio,en curso,2019-01-21 7:39
8,895,piso,lista,2019-10-02 7:42
26,82,piso,lista,2020-10-24 1:09
34,403,domicilio,en curso,2020-01-02 10:35
40,817,piso,lista,2020-10-16 1:50
99,169,domicilio,en curso,2019-12-21 4:17
77,218,domicilio,en curso,2020-05-03 12:27
89,264,domicilio,en curso,2021-06-18 5:32
64,451,piso,lista,2020-09-03 7:07
18,409,piso,lista,2019-07-17 3:04
16,810,domicilio,en curso,2019-12-08 1:40
17,780,piso,en curso,2019-03-04 6:29
29,733,piso,lista,2020-11-15 7:51
29,633,piso,en curso,2021-12-04 9:29
11,86,piso,lista,2019-10-23 8:44
9,916,piso,en curso,2021-01-05 2:20
8,144,piso,lista,2019-09-28 5:15
52,147,domicilio,en curso,2021-05-21 10:56
5,287,domicilio,lista,2021-05-31 9:40
91,528,piso,lista,2021-05-03 11:34
51,711,domicilio,en curso,2021-07-17 12:50
46,599,domicilio,lista,2019-03-25 2:02
32,425,domicilio,en curso,2021-08-20 5:46
49,837,piso,en curso,2021-02-17 4:12
79,255,domicilio,en curso,2019-04-18 10:49
65,276,piso,en curso,2021-10-19 3:15
47,716,piso,en curso,2020-02-28 6:02
28,13,piso,lista,2020-03-10 4:53
87,397,piso,en curso,2019-04-30 2:21
40,467,piso,lista,2021-04-20 6:01
16,922,piso,en curso,2020-12-08 4:54
66,622,domicilio,en curso,2020-08-29 7:15
41,21,piso,lista,2019-06-13 8:34
54,879,piso,lista,2021-05-02 2:28
26,771,piso,lista,2019-08-30 7:39
61,151,domicilio,lista,2021-10-26 1:01
31,992,domicilio,lista,2021-01-15 11:43
58,543,piso,en curso,2019-01-26 3:26
81,133,piso,en curso,2020-05-30 8:33
39,123,piso,lista,2020-07-03 2:59
29,987,piso,en curso,2019-05-24 4:47
27,211,piso,lista,2021-12-12 3:04
93,685,domicilio,lista,2020-05-30 2:48
33,357,piso,en curso,2019-10-19 12:20
19,30,domicilio,en curso,2020-10-18 10:15
62,995,piso,lista,2019-11-05 7:24
64,291,piso,en curso,2021-09-29 1:01
91,240,piso,lista,2021-02-06 12:16
95,97,domicilio,en curso,2021-08-15 5:19
36,406,domicilio,en curso,2019-08-13 1:32
60,5,piso,lista,2021-04-05 9:11
39,76,domicilio,en curso,2019-03-18 12:38
17,995,piso,lista,2019-04-04 9:03
58,539,piso,en curso,2020-03-02 10:28
67,244,piso,en curso,2019-12-01 2:34
21,688,piso,en curso,2019-11-28 9:02
77,204,domicilio,en curso,2019-08-29 7:37
3,892,piso,lista,2019-11-17 9:07
45,864,piso,lista,2021-08-03 8:04
35,523,domicilio,lista,2019-01-02 3:51
48,470,domicilio,en curso,2021-10-29 5:45
92,595,domicilio,lista,2021-07-21 7:40
19,132,piso,en curso,2020-10-09 4:15
38,994,domicilio,lista,2019-08-15 8:20
33,907,piso,en curso,2019-12-26 8:17
38,538,piso,en curso,2021-11-01 9:52
9,940,domicilio,lista,2019-04-09 12:04
83,79,domicilio,en curso,2019-12-04 2:08
18,28,domicilio,en curso,2020-04-08 7:01
87,207,domicilio,en curso,2021-08-14 10:01
74,249,domicilio,lista,2020-08-15 10:42
98,449,piso,lista,2019-03-26 9:30
34,185,domicilio,en curso,2019-06-07 5:37
20,590,domicilio,lista,2019-12-14 9:10
100,437,domicilio,en curso,2020-11-13 2:15
66,925,piso,lista,2020-11-08 12:24
93,45,piso,en curso,2020-07-02 7:54
49,992,domicilio,en curso,2019-08-31 9:30
79,927,piso,en curso,2019-03-28 10:13
19,893,domicilio,lista,2021-01-21 6:15
20,274,piso,en curso,2021-08-22 2:43
20,813,piso,lista,2019-10-05 7:37
3,108,piso,en curso,2020-03-01 2:39
84,628,domicilio,lista,2019-03-25 10:19
99,348,domicilio,lista,2021-08-15 3:38
7,301,piso,lista,2020-02-07 10:44
80,997,domicilio,en curso,2021-07-03 7:55
42,564,domicilio,lista,2019-05-04 3:51
5,971,piso,en curso,2020-02-25 9:17
27,254,piso,lista,2019-08-07 2:38
35,201,piso,en curso,2021-04-18 4:09
84,376,domicilio,en curso,2019-04-18 3:58
6,518,domicilio,en curso,2020-10-14 8:34
87,755,piso,lista,2020-03-23 6:01
74,223,piso,en curso,2021-06-08 7:36
67,747,piso,lista,2021-08-26 8:18
84,41,domicilio,lista,2020-07-28 6:52
47,506,piso,lista,2020-04-02 4:25
11,514,domicilio,en curso,2020-09-29 8:03
15,904,domicilio,en curso,2019-10-25 5:50
46,515,domicilio,en curso,2020-02-26 2:59
70,932,piso,en curso,2019-01-08 2:08
52,494,piso,en curso,2021-11-14 9:21
87,588,piso,lista,2020-11-01 10:46
73,47,piso,en curso,2020-02-09 12:49
8,398,domicilio,en curso,2019-07-25 8:07
90,513,piso,en curso,2020-02-24 1:43
56,743,piso,lista,2019-04-07 10:00
75,562,domicilio,en curso,2019-04-27 7:06
86,482,domicilio,en curso,2021-12-14 10:39
16,824,piso,en curso,2020-07-29 4:29
14,145,domicilio,en curso,2019-01-22 12:23
27,917,domicilio,lista,2020-04-01 8:25
40,186,domicilio,lista,2019-10-08 3:32
92,672,domicilio,lista,2020-04-04 5:47
77,90,domicilio,lista,2020-01-20 1:27
87,132,domicilio,en curso,2019-03-19 3:49
55,816,domicilio,en curso,2021-09-24 10:46
65,840,domicilio,en curso,2021-07-24 12:08
5,548,piso,en curso,2019-07-13 1:31
29,365,domicilio,lista,2020-02-28 12:50
5,385,domicilio,lista,2021-10-14 5:49
76,829,domicilio,lista,2019-01-26 8:13
21,739,piso,en curso,2021-07-25 7:35
78,249,domicilio,lista,2020-05-27 1:10
42,813,domicilio,lista,2019-06-01 4:07
95,587,piso,lista,2021-12-13 7:05
82,319,piso,lista,2020-06-11 3:42
5,488,domicilio,lista,2019-08-07 2:22
44,731,piso,lista,2021-10-01 5:27
20,638,piso,en curso,2019-07-08 10:19
24,949,domicilio,lista,2020-09-30 3:46
22,407,piso,en curso,2019-03-12 7:45
2,996,piso,lista,2020-10-19 2:11
17,217,piso,lista,2019-06-14 1:21
63,701,domicilio,lista,2021-06-22 5:44
39,320,domicilio,lista,2019-05-19 3:16
38,609,piso,lista,2020-10-06 7:14
51,988,piso,en curso,2021-07-27 3:57
11,871,piso,lista,2020-11-30 3:38
64,73,piso,en curso,2019-06-21 2:57
9,787,piso,lista,2021-03-10 11:32
59,23,piso,en curso,2019-06-27 6:21
22,899,domicilio,en curso,2019-09-26 1:53
93,580,domicilio,en curso,2019-01-02 11:17
52,129,domicilio,en curso,2019-04-16 1:04
81,823,piso,en curso,2021-03-01 8:26
92,382,domicilio,en curso,2019-02-08 4:51
4,431,piso,lista,2019-03-21 5:30
94,828,domicilio,en curso,2019-05-26 10:35
57,301,piso,lista,2019-11-14 5:09
65,712,piso,lista,2019-04-12 12:13
59,643,domicilio,en curso,2020-12-10 5:42
83,580,domicilio,lista,2020-06-20 6:46
20,286,piso,en curso,2020-09-15 4:19
19,244,piso,en curso,2020-03-22 5:42
7,655,domicilio,lista,2021-08-26 8:43
66,578,domicilio,en curso,2021-11-16 8:37
56,972,domicilio,lista,2021-09-11 10:32
56,366,domicilio,en curso,2021-03-25 8:06
45,448,domicilio,lista,2019-09-20 3:37
50,752,piso,lista,2019-02-06 12:13
93,845,domicilio,en curso,2021-05-20 7:36
5,75,piso,en curso,2021-02-05 7:42
86,469,domicilio,lista,2020-05-31 2:54
17,700,piso,lista,2020-09-11 6:24
84,525,domicilio,en curso,2021-07-23 10:40
63,414,domicilio,lista,2021-06-24 8:57
85,410,domicilio,lista,2020-07-13 3:07
1,797,piso,en curso,2019-11-02 10:41
18,862,piso,en curso,2020-05-08 8:26
10,384,domicilio,en curso,2020-05-01 9:22
95,977,piso,en curso,2021-07-15 5:05
29,924,domicilio,lista,2019-07-13 12:08
2,48,piso,en curso,2019-01-14 12:10
13,805,piso,lista,2020-09-15 8:03
13,258,domicilio,lista,2020-05-30 5:25
85,172,domicilio,lista,2020-02-27 6:04
64,574,piso,lista,2019-07-06 9:45
93,755,domicilio,en curso,2019-09-13 2:17
6,171,piso,en curso,2020-08-13 1:18
42,486,domicilio,en curso,2020-12-12 2:59
64,592,piso,lista,2019-10-11 7:29
59,948,domicilio,lista,2019-03-20 6:53
28,758,domicilio,en curso,2019-11-23 8:24
9,929,domicilio,lista,2020-09-17 12:59
92,252,domicilio,en curso,2021-09-11 7:54
61,328,piso,lista,2020-01-05 4:22
31,887,piso,en curso,2019-03-08 1:24
88,917,domicilio,lista,2019-07-30 8:05
70,415,piso,lista,2020-04-22 1:35
50,20,piso,lista,2021-05-09 1:08
89,298,piso,en curso,2021-09-27 10:34
79,694,piso,lista,2020-08-21 11:00
12,744,domicilio,en curso,2019-01-01 12:23
99,652,domicilio,lista,2021-04-09 1:18
37,921,piso,en curso,2019-03-20 6:31
52,234,domicilio,lista,2021-01-11 5:22
71,109,piso,en curso,2019-06-12 5:57
19,259,domicilio,lista,2019-10-25 11:25
53,665,domicilio,en curso,2019-04-07 5:42
88,101,piso,lista,2020-09-21 7:15
18,415,domicilio,lista,2021-05-22 2:45
14,929,domicilio,en curso,2020-10-21 7:49
27,512,domicilio,en curso,2020-01-23 12:26
31,89,domicilio,en curso,2019-09-04 4:10
74,704,domicilio,lista,2020-04-24 1:43
95,143,domicilio,en curso,2020-01-02 9:32
69,145,domicilio,lista,2019-01-10 2:32
92,466,piso,en curso,2019-01-16 10:18
59,690,domicilio,en curso,2019-05-14 3:43
9,947,piso,lista,2019-08-23 7:47
48,495,piso,lista,2019-07-29 7:24
69,975,domicilio,en curso,2021-01-11 1:54
53,211,piso,lista,2019-05-21 10:14
5,520,domicilio,en curso,2020-09-09 8:06
66,62,piso,lista,2021-07-27 8:43
46,534,piso,en curso,2019-01-02 4:36
97,702,piso,en curso,2021-07-21 3:03
98,560,piso,lista,2021-04-30 1:34
24,780,piso,en curso,2021-07-02 3:47
68,740,domicilio,en curso,2020-02-10 10:09
50,212,domicilio,en curso,2020-11-22 6:07
60,580,piso,en curso,2020-07-24 1:15
94,277,piso,en curso,2019-12-24 7:10
35,420,domicilio,lista,2021-08-16 7:48
9,738,domicilio,en curso,2020-01-06 12:18
34,452,domicilio,en curso,2021-06-20 3:35
45,819,piso,en curso,2021-02-10 10:38
30,819,piso,en curso,2020-08-21 1:28
37,129,piso,lista,2020-05-13 10:32
94,53,domicilio,lista,2021-08-09 3:08
90,773,piso,lista,2019-01-30 10:29
99,330,piso,lista,2020-04-07 6:11
25,328,domicilio,en curso,2019-07-05 10:48
18,348,domicilio,lista,2021-09-22 2:59
89,808,domicilio,lista,2021-07-27 6:18
94,325,piso,lista,2021-09-28 12:29
47,369,domicilio,en curso,2020-10-12 7:39
88,415,domicilio,lista,2021-06-21 8:35
11,532,piso,en curso,2020-03-16 2:13
6,11,domicilio,lista,2020-12-14 11:29
20,627,domicilio,en curso,2021-08-16 12:23
78,668,domicilio,lista,2019-09-20 6:31
44,438,piso,lista,2019-08-10 2:06
4,819,piso,lista,2019-06-04 12:07
32,864,piso,en curso,2020-12-26 9:32
57,778,piso,en curso,2019-09-09 1:08
83,146,piso,en curso,2021-07-09 1:47
3,84,piso,en curso,2021-04-29 2:43
61,551,domicilio,en curso,2021-02-27 7:36
26,725,piso,lista,2020-10-18 3:04
18,755,piso,lista,2020-09-16 9:15
5,626,piso,lista,2019-08-14 11:24
19,492,domicilio,lista,2021-10-30 6:20
11,585,piso,lista,2021-04-10 9:26
89,557,domicilio,lista,2020-10-20 8:07
71,191,domicilio,lista,2021-12-03 5:02
79,188,domicilio,lista,2021-06-03 2:13
26,108,piso,en curso,2021-10-15 6:44
90,655,piso,en curso,2020-09-22 6:51
27,120,domicilio,en curso,2021-09-02 6:05
53,125,piso,lista,2020-10-03 4:47
82,310,domicilio,lista,2020-01-28 9:14
91,912,piso,en curso,2019-10-04 6:16
79,319,piso,lista,2021-12-01 4:53
53,91,piso,en curso,2021-11-19 10:33
95,475,piso,en curso,2020-01-09 4:54
92,628,domicilio,lista,2020-09-03 10:23
50,560,domicilio,lista,2020-12-23 6:03
66,128,piso,lista,2019-12-06 3:00
2,80,domicilio,en curso,2019-08-12 4:45
84,385,piso,en curso,2020-06-01 5:22
77,858,piso,en curso,2021-01-26 10:24
90,933,domicilio,en curso,2020-01-28 1:31
98,156,piso,en curso,2019-07-19 8:59
52,633,domicilio,lista,2019-06-01 6:42
68,74,domicilio,en curso,2019-11-15 8:02
93,553,domicilio,lista,2019-06-25 8:16
29,473,domicilio,en curso,2020-10-14 8:50
80,521,piso,en curso,2019-12-08 5:39
6,93,piso,en curso,2019-11-17 4:20
54,172,piso,lista,2019-11-05 6:37
93,488,piso,en curso,2021-12-21 11:35
1,162,domicilio,lista,2019-11-03 8:43
92,87,domicilio,lista,2020-12-01 9:20
53,575,domicilio,en curso,2020-02-18 10:03
29,757,piso,lista,2021-01-12 12:21
41,620,piso,en curso,2020-11-01 2:12
17,65,domicilio,lista,2019-10-28 2:41
30,451,piso,lista,2021-07-25 10:13
86,456,piso,lista,2019-12-18 3:52
11,111,domicilio,lista,2021-06-19 8:27
66,755,piso,en curso,2021-01-19 3:24
80,471,piso,lista,2020-07-19 1:41
73,912,piso,en curso,2020-07-16 2:43
2,378,piso,lista,2020-05-02 9:16
41,150,piso,en curso,2020-12-02 4:36
40,616,domicilio,lista,2019-10-03 6:03
29,454,domicilio,lista,2020-09-23 2:58
23,35,domicilio,en curso,2019-04-17 9:55
62,650,domicilio,lista,2021-09-22 10:43
5,683,piso,en curso,2020-08-11 11:59
22,34,domicilio,en curso,2020-12-16 12:09
87,696,domicilio,lista,2020-11-03 3:14
28,51,piso,en curso,2019-08-20 12:46
86,56,piso,en curso,2021-02-24 4:28
33,752,piso,en curso,2020-08-18 9:03
28,512,piso,lista,2019-02-27 8:17
11,653,piso,en curso,2019-06-13 7:40
35,503,piso,lista,2019-08-21 4:49
16,216,piso,lista,2021-04-22 10:32
78,803,piso,lista,2020-08-05 6:34
92,931,piso,lista,2020-09-24 1:09
28,860,piso,lista,2021-05-14 6:10
67,978,piso,en curso,2020-09-17 6:29
48,214,domicilio,en curso,2019-07-14 11:47
66,381,domicilio,lista,2019-10-29 5:01
56,810,piso,en curso,2021-11-19 1:35
59,539,domicilio,lista,2019-08-30 4:30
33,266,piso,en curso,2020-02-26 7:35
59,666,domicilio,lista,2021-12-11 1:23
66,527,piso,lista,2020-09-01 7:24
75,413,domicilio,lista,2021-05-27 3:22
26,792,piso,en curso,2021-01-09 12:47
46,667,piso,en curso,2019-06-08 11:43
92,701,domicilio,en curso,2020-11-03 8:13
70,705,piso,en curso,2021-03-27 1:55
55,103,piso,en curso,2019-08-31 9:06
10,930,domicilio,lista,2020-05-19 8:37
71,766,piso,lista,2020-08-25 6:59
12,478,domicilio,lista,2020-07-24 12:42
66,657,domicilio,en curso,2021-12-26 8:15
63,914,domicilio,lista,2019-03-08 10:12
54,384,domicilio,en curso,2019-03-27 3:04
20,291,piso,en curso,2021-01-04 10:08
59,236,domicilio,en curso,2020-07-14 6:39
66,455,domicilio,lista,2019-02-08 11:22
40,336,domicilio,lista,2019-06-11 2:31
86,410,piso,lista,2020-08-29 2:30
29,437,domicilio,lista,2020-01-07 5:52
32,998,domicilio,lista,2020-05-27 4:33
40,891,piso,lista,2019-12-17 10:59
27,488,piso,en curso,2020-10-14 6:28
46,705,domicilio,en curso,2021-03-29 7:08
81,70,domicilio,lista,2020-06-21 9:32
52,913,piso,en curso,2021-09-26 4:40
45,87,piso,en curso,2019-07-28 12:33
83,327,domicilio,lista,2020-09-01 12:36
51,629,domicilio,en curso,2020-04-22 10:53
82,658,domicilio,lista,2019-09-11 10:03
4,553,domicilio,en curso,2021-11-15 3:38
52,608,piso,en curso,2020-06-01 10:45
23,975,domicilio,lista,2019-10-04 9:45
65,704,piso,lista,2019-04-15 3:58
7,600,domicilio,en curso,2020-11-25 4:10
88,626,piso,lista,2021-02-24 2:31
37,848,domicilio,lista,2019-02-10 6:46
39,794,domicilio,en curso,2020-03-03 7:44
79,373,piso,lista,2020-06-04 8:05
98,511,domicilio,lista,2021-11-22 12:00
60,583,piso,en curso,2021-11-21 8:38
10,145,domicilio,en curso,2019-01-18 8:44
92,103,piso,en curso,2019-10-31 7:45
44,313,domicilio,en curso,2019-08-04 3:29
50,389,piso,en curso,2021-08-06 6:49
17,403,domicilio,lista,2021-07-01 5:52
11,584,piso,lista,2021-02-04 8:10
17,379,domicilio,lista,2021-06-27 9:31
26,72,domicilio,lista,2021-07-10 9:53
15,547,piso,lista,2021-11-24 10:26
73,793,domicilio,lista,2019-12-16 12:42
8,1000,piso,en curso,2019-08-15 10:23
17,895,piso,lista,2020-06-21 4:53
97,433,domicilio,en curso,2019-02-01 11:16
83,433,piso,en curso,2019-04-17 10:59
75,839,domicilio,lista,2019-11-04 5:31
70,914,piso,lista,2019-08-09 1:26
83,464,domicilio,en curso,2019-02-13 6:53
5,148,piso,lista,2021-04-10 8:58
70,69,piso,lista,2020-05-13 1:21
45,960,domicilio,lista,2020-08-22 3:15
9,213,domicilio,en curso,2019-08-12 8:48
22,9,domicilio,en curso,2019-03-25 11:13
17,359,domicilio,lista,2020-08-06 12:48
14,275,piso,en curso,2019-01-17 10:37
10,732,piso,lista,2020-09-19 12:02
29,83,piso,en curso,2020-05-09 6:11
93,236,domicilio,en curso,2020-03-08 9:10
91,32,piso,lista,2019-08-13 4:52
85,242,piso,lista,2021-10-28 12:28
69,73,domicilio,lista,2019-05-03 7:40
93,92,domicilio,lista,2019-01-02 12:18
11,423,piso,lista,2019-10-07 1:43
11,174,piso,en curso,2021-12-29 2:15
58,779,domicilio,lista,2019-10-12 6:25
72,200,piso,en curso,2021-07-02 9:08
86,732,piso,en curso,2019-05-11 9:37
75,401,piso,lista,2019-12-04 1:17
50,911,piso,en curso,2020-10-02 3:59
34,924,piso,en curso,2020-09-30 5:34
99,215,piso,lista,2020-03-02 3:27
41,419,piso,lista,2020-10-24 4:30
18,864,piso,lista,2019-09-05 3:26
45,381,domicilio,lista,2020-09-26 7:56
51,696,piso,en curso,2020-01-29 9:22
78,973,domicilio,lista,2020-03-27 11:28
26,556,domicilio,lista,2021-11-23 1:31
63,427,piso,en curso,2020-02-07 12:16
37,379,domicilio,en curso,2020-06-07 7:22
8,608,domicilio,lista,2019-09-26 8:55
46,869,piso,en curso,2020-07-14 5:11
16,897,domicilio,lista,2021-05-02 12:16
87,910,piso,lista,2019-12-08 7:07
17,553,piso,en curso,2021-09-15 2:11
27,166,domicilio,en curso,2020-02-06 4:08
2,446,domicilio,lista,2020-06-02 4:53
63,335,piso,en curso,2021-04-11 7:22
53,75,domicilio,lista,2019-07-30 6:46
59,370,domicilio,en curso,2019-05-02 1:40
27,170,piso,lista,2019-02-05 1:11
30,972,domicilio,en curso,2019-12-02 6:32
3,359,domicilio,en curso,2020-04-24 2:07
94,275,domicilio,lista,2020-04-11 7:04
60,519,domicilio,lista,2021-06-17 2:48
68,178,domicilio,lista,2020-01-08 3:29
60,314,piso,en curso,2020-01-23 5:59
21,545,piso,lista,2019-04-06 8:48
32,806,domicilio,lista,2020-11-15 2:45
41,888,piso,en curso,2020-05-21 8:54
100,475,domicilio,en curso,2020-12-13 1:21
27,26,domicilio,lista,2021-11-27 2:59
80,246,piso,en curso,2019-07-10 11:28
63,117,domicilio,en curso,2020-11-09 7:01
4,14,piso,lista,2020-04-29 4:43
61,771,domicilio,en curso,2019-04-16 3:29
49,671,domicilio,lista,2021-10-18 4:13
26,285,domicilio,en curso,2020-06-09 7:57
31,665,piso,en curso,2020-11-25 6:06
56,288,domicilio,lista,2020-01-30 6:59
47,914,domicilio,lista,2020-01-28 5:51
72,422,piso,lista,2021-06-08 5:20
96,752,piso,en curso,2020-05-20 12:01
34,732,domicilio,en curso,2020-07-04 9:11
99,350,piso,en curso,2021-07-11 8:35
30,288,domicilio,lista,2019-01-26 1:01
53,588,domicilio,lista,2021-05-25 8:52
90,794,piso,lista,2020-05-21 5:06
88,876,domicilio,en curso,2020-11-14 7:56
23,876,piso,en curso,2019-11-23 12:25
17,212,piso,en curso,2021-08-23 11:00
52,94,domicilio,lista,2019-10-13 3:59
64,616,piso,lista,2021-09-24 2:05
36,384,piso,lista,2019-05-05 1:34
26,738,piso,lista,2020-11-23 9:16
91,466,domicilio,en curso,2021-08-30 7:07
75,590,domicilio,lista,2019-08-04 7:07
25,150,piso,en curso,2021-05-24 2:38
53,233,domicilio,lista,2020-03-05 8:41
9,313,piso,en curso,2021-01-01 2:56
51,474,domicilio,lista,2020-08-14 5:13
41,730,domicilio,lista,2019-09-10 9:42
51,840,piso,lista,2020-02-13 3:37
10,213,piso,en curso,2021-07-17 7:51
17,483,piso,lista,2019-09-22 3:31
54,14,domicilio,lista,2021-11-11 9:16
6,851,piso,en curso,2020-07-22 10:08
27,596,domicilio,lista,2020-12-12 2:48
87,71,piso,en curso,2021-01-09 8:01
78,730,domicilio,lista,2021-01-08 5:53
87,206,domicilio,en curso,2020-02-18 8:23
28,151,domicilio,en curso,2020-08-24 3:33
17,879,piso,lista,2019-10-08 12:26
86,977,domicilio,lista,2019-07-08 8:58
82,952,domicilio,lista,2021-12-28 3:58
72,2,piso,lista,2019-02-18 8:54
61,581,piso,en curso,2021-11-24 5:21
70,826,piso,lista,2019-06-20 3:31
1,594,piso,en curso,2021-03-18 7:26
90,296,piso,en curso,2020-08-31 9:57
41,991,piso,lista,2020-07-10 2:43
21,568,piso,en curso,2021-12-24 5:21
38,697,piso,lista,2019-03-23 7:35
23,167,piso,lista,2021-09-30 2:58
54,61,piso,en curso,2021-11-11 1:24
66,159,piso,lista,2021-09-17 4:18
33,964,domicilio,lista,2019-08-02 7:09
13,467,domicilio,lista,2019-02-04 10:37
25,431,domicilio,en curso,2021-07-17 12:49
62,740,piso,lista,2019-10-25 6:51
34,731,domicilio,en curso,2019-05-07 7:35
15,768,domicilio,lista,2020-09-21 2:35
61,937,piso,en curso,2021-05-04 7:07
67,550,domicilio,en curso,2021-02-04 12:12
5,717,domicilio,lista,2019-12-04 4:03
100,878,domicilio,en curso,2020-12-11 9:46
9,501,piso,lista,2020-01-03 2:35
31,961,domicilio,en curso,2019-02-18 8:16
94,402,piso,en curso,2020-08-24 10:45
49,103,piso,lista,2020-11-28 7:41
52,275,domicilio,lista,2019-08-16 9:28
39,744,piso,lista,2019-10-14 3:54
83,631,domicilio,lista,2020-02-12 12:18
73,695,domicilio,lista,2019-04-27 2:26
73,228,piso,en curso,2021-03-27 2:55
58,589,piso,lista,2020-04-12 2:56
40,546,piso,lista,2019-12-06 9:50
19,414,piso,en curso,2021-11-14 5:47
7,294,domicilio,lista,2019-06-05 10:54
87,17,domicilio,lista,2020-09-02 3:59
94,627,domicilio,en curso,2021-07-18 7:00
55,766,domicilio,en curso,2019-10-21 4:35
38,773,piso,en curso,2021-04-11 1:26
60,408,domicilio,en curso,2019-09-24 3:07
